class_id,label,n_pixels,coverage,average_set_size,threshold,alpha,output_level
-1,all,14789958,0.8522442727694021,2.7295322272044316,0.20021463930606842,0.15,direct_pattern
0,benign tissue,3394978,0.847851738656333,2.3423483156591884,0.24195575714111328,0.15,direct_pattern
1,Gleason pattern 3,3702747,0.8359355905223879,2.9111532599985903,0.2490827441215515,0.15,direct_pattern
2,Gleason pattern 4,6273918,0.8693338038527121,2.810883406509298,0.24580061435699463,0.15,direct_pattern
3,Gleason pattern 5,1418315,0.8297395148468429,2.8223138019410356,0.06401944160461426,0.15,direct_pattern
-1,all,2016949,0.8739992929915432,7.382638827258399,0.07644718289375305,0.15,concept_explanation
0,benign tissue,893579,0.8527225908397579,6.484586141796081,0.2502027153968811,0.15,concept_explanation
1,3 - individual glands,165782,0.8963578675610139,8.253097441217985,0.04266536235809326,0.15,concept_explanation
2,3 - compressed glands,1551,1.0,8.630560928433269,0.0006380677223205566,0.15,concept_explanation
3,4 - poorly formed glands,381676,0.8458299709701422,8.217239229084354,0.1943134069442749,0.15,concept_explanation
4,4 - cribriform glands,179981,0.9303870964157328,8.060378595518415,0.055076658725738525,0.15,concept_explanation
6,5 - group of tumor cells,62672,0.9550357416390094,8.316696451365841,0.06700658798217773,0.15,concept_explanation
7,5 - single cells,360,1.0,8.158333333333333,0.010367274284362793,0.15,concept_explanation
8,5 - cords,331260,0.9060254784761215,7.855992271931413,0.10156106948852539,0.15,concept_explanation
9,5 - comedonecrosis,88,0.6477272727272727,8.409090909090908,0.0192488431930542,0.15,concept_explanation
-1,all,14789958,0.8060525932528003,2.526075936118277,0.2146647423505783,0.2,direct_pattern
0,benign tissue,3394978,0.799167476195722,2.132599975611035,0.26638519763946533,0.2,direct_pattern
1,Gleason pattern 3,3702747,0.7876109277787545,2.695527131613367,0.2570284605026245,0.2,direct_pattern
2,Gleason pattern 4,6273918,0.8257540184618288,2.62019458972846,0.26114630699157715,0.2,direct_pattern
3,Gleason pattern 5,1418315,0.7835290467914391,2.6092130450569866,0.07409900426864624,0.2,direct_pattern
-1,all,2016949,0.8255498775625958,6.9467929035389595,0.08206586837768555,0.2,concept_explanation
0,benign tissue,893579,0.8065554360610534,6.0154882780369725,0.2732541561126709,0.2,concept_explanation
1,3 - individual glands,165782,0.8595565260402215,7.8937098116804,0.04564332962036133,0.2,concept_explanation
2,3 - compressed glands,1551,1.0,8.444874274661508,0.0007002949714660645,0.2,concept_explanation
3,4 - poorly formed glands,381676,0.7962145903855626,7.851001896896844,0.1997787356376648,0.2,concept_explanation
4,4 - cribriform glands,179981,0.8735533195170602,7.665003528150193,0.06383883953094482,0.2,concept_explanation
6,5 - group of tumor cells,62672,0.916964513658412,7.880983533316313,0.07388097047805786,0.2,concept_explanation
7,5 - single cells,360,1.0,7.683333333333334,0.012065231800079346,0.2,concept_explanation
8,5 - cords,331260,0.8492483245788807,7.368275674696613,0.10690224170684814,0.2,concept_explanation
9,5 - comedonecrosis,88,0.5909090909090909,7.818181818181818,0.020859599113464355,0.2,concept_explanation
