sample_id,source_id,direct_accuracy,concept_accuracy,pattern_mean_set_size,concept_mean_set_size,n_valid_pattern_pixels,n_valid_explanation_pixels,n_pattern_classes,selection_score,selected_for_main_fig7
TissueArray_concept_subset__PR1921b_F6,PR1921b_F6,0.6467871252614456,0.7440540217521214,3.0943818266325818,7.708886100155373,34424,33468,2,0.2063846763236413,False
TissueArray_concept_subset__PR633a_G4,PR633a_G4,0.6882086413597243,0.9303119968669772,3.6766752661131226,8.3111048257256,46127,45962,3,0.2214977485187611,False
TissueArray_concept_subset__PR1921c_D7,PR1921c_D7,0.6602724869518064,0.9375916669161004,3.3955127770622924,7.738543506240833,44259,33409,2,0.2313221279094814,False
TissueArray_concept_subset__PR1001_B1,PR1001_B1,0.2396623672230652,0.5103645461043602,2.847843955488113,6.741422444603288,31632,5596,2,0.2415954256653444,False
TissueArray_concept_subset__PR1921c_E7,PR1921c_E7,0.722738726214267,0.7902840456596761,2.938569814927448,7.175353213579919,34527,33903,3,0.2416888693455707,False
TissueArray_concept_subset__PR1921c_I13,PR1921c_I13,0.6349218674172571,0.5724934485101427,2.4501795593516453,5.85037367756964,51515,51515,2,0.2499072114917984,False
TissueArray_concept_subset__PR1921b_D16,PR1921b_D16,0.1977325775258419,0.1988319553931936,3.1646263040060973,7.904177081330514,41986,41608,2,0.2607689330077917,False
TissueArray_concept_subset__PR1921b_D4,PR1921b_D4,0.7615223254420138,0.810788133053641,3.0677554689841173,7.82109679352712,33370,33370,3,0.2678106083308361,False
TissueArray_concept_subset__PR1921c_J11,PR1921c_J11,0.7027676516709773,0.942467873653341,3.1161436164796448,7.372034295256909,49103,49103,2,0.2699727104250249,False
TissueArray_concept_subset__PR1921c_E10,PR1921c_E10,0.2225084283495587,0.4589109673444239,3.3852418652221674,6.4323398028342575,52798,25968,2,0.2742544502026429,False
TissueArray_concept_subset__PR1921b_I15,PR1921b_I15,0.1826508489439965,0.2531831537708129,3.4531436505809845,8.06898873653281,41051,32672,2,0.2868546718098991,False
TissueArray_concept_subset__PR1001_H9,PR1001_H9,0.2160269137436576,0.2353914914749213,2.384568718288109,6.454036307454616,36264,36246,2,0.2895096113757257,False
TissueArray_concept_subset__PR1921b_D13,PR1921b_D13,0.1270100037050759,0.15909596146721,3.457749783870569,8.338495739162653,40485,40485,3,0.2980699024329999,False
TissueArray_concept_subset__PR1921c_J4,PR1921c_J4,0.7707966123554447,0.978604622150142,3.101629336657925,6.730655272432399,46522,32063,3,0.3002486803731137,False
TissueArray_concept_subset__PR1921b_J16,PR1921b_J16,0.1655284470283581,0.5780609128196178,3.4860494046561223,7.813072693952352,39389,11459,2,0.3076520752788397,False
TissueArray_concept_subset__PR1921b_A10,PR1921b_A10,0.1379542592755278,0.0110398547541655,3.048434800433395,7.82459222817652,34149,34149,2,0.3174912881782775,False
TissueArray_concept_subset__PR1921c_A4,PR1921c_A4,0.7273250555053038,0.7110434997121947,2.4831839486884304,6.49765644272675,12161,12161,2,0.3280445687032315,False
TissueArray_concept_subset__PR1921b_C1,PR1921b_C1,0.0741902639037948,0.0844822367153746,3.0191804947852168,7.853077960318116,36339,36339,3,0.3295153966812515,False
TissueArray_concept_subset__PR1921c_B1,PR1921c_B1,0.7977299880525687,0.8700648444553887,2.673715651135006,6.844906837396372,25110,24366,3,0.333883225259241,False
TissueArray_concept_subset__PR1001_B7,PR1001_B7,0.7821016949152543,0.0189457831325301,2.9724474576271187,7.424668674698795,36875,33200,2,0.3447104231161936,False
TissueArray_concept_subset__PR1921c_J14,PR1921c_J14,0.7937047905646624,0.9573652828919086,2.8561709126932207,7.067475374292069,53501,53501,2,0.3681084465710921,False
TissueArray_concept_subset__PR1001_C8,PR1001_C8,0.0887800397979488,0.107475287763182,3.147533037399868,7.8727024830226275,39198,38139,2,0.3696672320375933,False
TissueArray_concept_subset__PR1921b_I4,PR1921b_I4,0.0794955436262296,0.0833483163383248,2.9108725245935325,7.915727018210772,38933,38933,2,0.3757550150258135,False
TissueArray_concept_subset__PR1001_I5,PR1001_I5,0.0722760451227604,0.0806477302893549,2.6444857332448573,7.328802760817627,37675,37670,2,0.4053684703310927,False
TissueArray_concept_subset__PR1921b_I16,PR1921b_I16,0.0698681688007384,0.0782230006390381,3.5833471397126697,8.198693522046815,42251,42251,2,0.4074395872287046,False
TissueArray_concept_subset__PR1001_J2,PR1001_J2,0.0485696048279463,0.0559965111208024,2.9697382928103058,7.740020351795319,34466,34395,2,0.407840456423735,False
TissueArray_concept_subset__PR1921c_D8,PR1921c_D8,0.8225447088747363,0.8335863714336416,2.715085671471104,6.670919021235483,50717,50717,2,0.4105229015911824,False
TissueArray_concept_subset__PR1001_B9,PR1001_B9,0.0305214180953825,0.0374500581601173,2.8816062307186567,7.541040813230162,39546,39546,2,0.4333935164112679,False
TissueArray_concept_subset__PR1921c_H1,PR1921c_H1,0.0809297547194041,0.9996830427892236,3.131321433157827,3.4741679873217115,38935,3155,2,0.4648397428604747,False
